date,equity
2019-01-01,100269.19307398757
2019-01-02,102017.75761273946
2019-01-03,100909.05110494746
2019-01-04,101535.94170848108
2019-01-07,97985.24738459609
2019-01-08,98233.50079925012
2019-01-09,97666.74962477366
2019-01-10,97963.19625340232
2019-01-11,97934.420153892
2019-01-14,100092.00593552156
2019-01-15,101028.96505889935
2019-01-16,101981.58289823912
2019-01-17,102632.13941683815
2019-01-18,102174.4549170639
2019-01-21,101939.53718441569
2019-01-22,101423.98042374659
2019-01-23,101518.71543536872
2019-01-24,102405.70420172684
2019-01-25,105357.64499677237
2019-01-28,105484.07550366488
2019-01-29,104828.25330023309
2019-01-30,104314.37344277186
2019-01-31,104266.26750237607
2019-02-01,103745.64141638247
2019-02-04,104433.50759298897
2019-02-05,104710.3161838013
2019-02-06,104457.74261104941
2019-02-07,103929.92082341241
2019-02-08,104676.3894995652
2019-02-11,105681.38981223272
2019-02-12,104568.80938477078
2019-02-13,103905.36151636609
2019-02-14,102414.8003021189
2019-02-15,105059.35324293542
2019-02-18,105241.61457584285
2019-02-19,99466.78541431014
2019-02-20,99530.75025856514
2019-02-21,99016.14638463603
2019-02-22,98833.54462097575
2019-02-25,97495.84776885164
2019-02-26,97350.14618232036
2019-02-27,97617.43397088627
2019-02-28,98116.95477041088
2019-03-01,96258.31312398204
2019-03-04,95259.70859700532
2019-03-05,93963.8322101743
2019-03-06,95452.20731321428
2019-03-07,96427.73176033926
2019-03-08,96712.83885570813
2019-03-11,94639.72129705714
2019-03-12,95060.87415933514
2019-03-13,95029.0964987273
2019-03-14,97550.04624316831
2019-03-15,98479.06780680412
2019-03-18,98462.97564095749
2019-03-19,99213.52261501407
2019-03-20,98960.28898959215
2019-03-21,98526.19401335323
2019-03-22,98822.15727444713
2019-03-25,97150.97258421578
2019-03-26,97086.0546412981
2019-03-27,97014.50937956187
2019-03-28,98142.22219781356
2019-03-29,97022.72835281922
2019-04-01,98711.6429327864
2019-04-02,99101.97126756729
2019-04-03,98653.16409799352
2019-04-04,95755.8880349782
2019-04-05,96198.5659612062
2019-04-08,96440.5350469765
2019-04-09,94511.75605695149
2019-04-10,93711.73379288269
2019-04-11,93200.73013114219
2019-04-12,93219.85731629867
2019-04-15,93207.63308988287
2019-04-16,92239.60464218736
2019-04-17,92706.96616907936
2019-04-18,94524.91966224257
2019-04-19,96817.00573413321
2019-04-22,96286.76873612472
2019-04-23,96525.62287970654
2019-04-24,97231.8096104645
2019-04-25,96999.93822716485
2019-04-26,97345.69756694653
2019-04-29,98091.87303142644
2019-04-30,97297.21495377598
2019-05-01,98647.02971964277
2019-05-02,98963.72749986315
2019-05-03,97985.93759561582
2019-05-06,98644.31659553037
2019-05-07,98222.36302735512
2019-05-08,97403.12219492851
2019-05-09,97402.96754622846
2019-05-10,95632.62924319807
2019-05-13,98643.69577104035
2019-05-14,99854.77048328216
2019-05-15,102264.51378047503
2019-05-16,101727.46347930408
2019-05-17,101719.04137231779
2019-05-20,101676.14301122117
2019-05-21,101981.90423863966
2019-05-22,101997.87845590811
2019-05-23,102079.09446004748
2019-05-24,102458.22231459276
2019-05-27,102387.23703082994
2019-05-28,104287.43458069528
2019-05-29,103095.39077970447
2019-05-30,102664.84408763284
2019-05-31,103490.66864598847
2019-06-03,104528.04103882762
2019-06-04,105172.44170801161
2019-06-05,105921.6246887587
2019-06-06,106930.85368362411
2019-06-07,107388.28804558385
2019-06-10,107017.67869738078
2019-06-11,109857.63879245192
2019-06-12,109621.56578972984
2019-06-13,110292.42837979565
2019-06-14,110920.15771889727
2019-06-17,111566.70974477967
2019-06-18,111956.8703986556
2019-06-19,113317.13206162017
2019-06-20,114719.18839571149
2019-06-21,109928.49197756109
2019-06-24,109934.55053243972
2019-06-25,109721.61868422327
2019-06-26,110512.38379327691
2019-06-27,111692.30572110704
2019-06-28,112313.12789367027
2019-07-01,113235.56912582979
2019-07-02,115053.57176195401
2019-07-03,114728.90451824946
2019-07-04,113636.90709273613
2019-07-05,113334.1102788938
2019-07-08,113352.68497561212
2019-07-09,113207.19850472303
2019-07-10,111357.19193524796
2019-07-11,112296.18448975639
2019-07-12,113644.62993017028
2019-07-15,114660.17639847963
2019-07-16,114189.62059253767
2019-07-17,114566.86380315469
2019-07-18,112531.82357482913
2019-07-19,109679.82530473579
2019-07-22,110286.18113679532
2019-07-23,110107.58794468973
2019-07-24,108653.11457811475
2019-07-25,108300.27550410488
2019-07-26,109332.32774926511
2019-07-29,110269.02578586443
2019-07-30,109286.64385685268
2019-07-31,110125.40717067507
2019-08-01,110255.5698609375
2019-08-02,110680.62247947397
2019-08-05,109410.10716476139
2019-08-06,108854.20502734267
2019-08-07,110176.65156843519
2019-08-08,104194.17545628689
2019-08-09,103937.77183817592
2019-08-12,104105.74169883158
2019-08-13,104066.32454560898
2019-08-14,103520.79046068573
2019-08-15,103322.9789623751
2019-08-16,103887.58589076257
2019-08-19,104235.54616210358
2019-08-20,104446.83292198306
2019-08-21,103831.89899381662
2019-08-22,103745.70253836503
2019-08-23,104828.46846811478
2019-08-26,103021.84536916394
2019-08-27,102669.15563530865
2019-08-28,102610.85469558042
2019-08-29,104517.5632839901
2019-08-30,102711.56427279291
2019-09-02,103320.30502625971
2019-09-03,102453.3403759691
2019-09-04,102765.29890972962
2019-09-05,104015.79465236736
2019-09-06,104208.04291525327
2019-09-09,104261.21333102345
2019-09-10,102706.16909443568
2019-09-11,102249.1531654958
2019-09-12,102328.86899083214
2019-09-13,102921.33869512616
2019-09-16,103379.42692154969
2019-09-17,103874.37467079972
2019-09-18,105192.967881483
2019-09-19,103689.59054770728
2019-09-20,105027.68195679333
2019-09-23,105833.05224952273
2019-09-24,102987.89180604093
2019-09-25,103580.22747652703
2019-09-26,101555.333930058
2019-09-27,102948.03632819498
2019-09-30,105036.47842186352
2019-10-01,104926.91294436554
2019-10-02,105030.26811818167
2019-10-03,107608.82617833267
2019-10-04,106932.16584308691
2019-10-07,107467.87206327629
2019-10-08,106109.65017804908
2019-10-09,108388.70308890323
2019-10-10,108972.70147461022
2019-10-11,108610.84820269524
2019-10-14,108566.33849426702
2019-10-15,108456.13512513683
2019-10-16,107726.45781877637
2019-10-17,106862.29394320284
2019-10-18,107533.431972925
2019-10-21,106920.48001133943
2019-10-22,108934.2179293987
2019-10-23,115833.90017453526
2019-10-24,115883.48954141488
2019-10-25,116567.67155282774
2019-10-28,117476.2444628853
2019-10-29,115953.55219247565
2019-10-30,115828.55921897535
2019-10-31,114288.41377306664
2019-11-01,115097.42278903325
2019-11-04,114593.72920134044
2019-11-05,115096.80076648892
2019-11-06,115090.09280599996
2019-11-07,116193.18406334764
2019-11-08,115043.71977758232
2019-11-11,115909.89729482771
2019-11-12,117229.34244365618
2019-11-13,115522.80226051917
2019-11-14,114027.82123620725
2019-11-15,113816.88012884943
2019-11-18,115216.14803686511
2019-11-19,114647.64386391293
2019-11-20,112126.60934367603
2019-11-21,114899.28152625091
2019-11-22,115281.8870816001
2019-11-25,115295.30113883459
2019-11-26,115785.2522696412
2019-11-27,116156.28564994085
2019-11-28,115731.83358159327
2019-11-29,116916.61610151944
2019-12-02,121216.8126151934
2019-12-03,122088.22496451213
2019-12-04,123561.17459983035
2019-12-05,124340.71040380478
2019-12-06,124022.41774741239
2019-12-09,123094.37192397959
2019-12-10,122670.26674550016
2019-12-11,122541.04585659278
2019-12-12,122857.59979306188
2019-12-13,123952.33190428994
2019-12-16,122590.3898200701
2019-12-17,122580.11454098143
2019-12-18,123645.57886503571
2019-12-19,124559.65193639358
2019-12-20,125893.11121125828
2019-12-23,125674.09846711846
2019-12-24,126029.35684149295
2019-12-25,127159.47038485039
2019-12-26,127205.33636907286
2019-12-27,128963.28546805207
2019-12-30,130319.55353093483
2019-12-31,132514.06942458032
2020-01-01,131350.55033704534
2020-01-02,131082.07766551824
2020-01-03,132966.42026197683
2020-01-06,135145.7984081878
2020-01-07,134605.62700459253
2020-01-08,132352.11581550684
2020-01-09,132610.16588705205
2020-01-10,133421.8593936155
2020-01-13,133363.31109834253
2020-01-14,131887.19639144556
2020-01-15,129803.6543940364
2020-01-16,129060.14661954183
2020-01-17,130659.37625355352
2020-01-20,132976.7591150268
2020-01-21,131715.6757836695
2020-01-22,131595.58220200308
2020-01-23,134706.4653930551
2020-01-24,137532.06346770408
2020-01-27,137969.02587319026
2020-01-28,138067.65886517748
2020-01-29,136462.55723358336
2020-01-30,137928.4197402273
2020-01-31,136912.96953786898
2020-02-03,136815.66476046474
2020-02-04,138154.9531108309
2020-02-05,136225.21582099897
2020-02-06,136316.49819813465
2020-02-07,136703.47687653458
2020-02-10,135955.4563629687
2020-02-11,137987.7796985409
2020-02-12,140137.13171116338
2020-02-13,139813.0387932941
2020-02-14,141327.62481033622
2020-02-17,142000.64785479673
2020-02-18,144138.1972787333
2020-02-19,143631.16692341847
2020-02-20,144878.84772876778
2020-02-21,146416.284681405
2020-02-24,144872.39135304568
2020-02-25,143955.59491952026
2020-02-26,143109.14765613156
2020-02-27,142132.5888124412
2020-02-28,145735.83662832848
2020-03-02,146050.6928957728
2020-03-03,146329.47463436003
2020-03-04,145203.1899455894
2020-03-05,144583.27468368167
2020-03-06,144597.4416430222
2020-03-09,142112.6801339378
2020-03-10,141317.39828802567
2020-03-11,142600.71659123147
2020-03-12,140237.40561248577
2020-03-13,141219.7463929919
2020-03-16,140824.54392584792
2020-03-17,141360.68679029614
2020-03-18,142913.3327994506
2020-03-19,142929.6898520347
2020-03-20,144687.7354924781
2020-03-23,146956.55843206804
2020-03-24,146088.21180575463
2020-03-25,147143.05872184964
2020-03-26,147146.42480877112
2020-03-27,149090.48955879375
2020-03-30,150085.0048927413
2020-03-31,143321.93818912277
2020-04-01,140158.52000631773
2020-04-02,138589.23977465602
2020-04-03,139346.55898608017
2020-04-06,140016.24878382156
2020-04-07,138035.61953570505
2020-04-08,138904.25509766245
2020-04-09,137798.17882769046
2020-04-10,138888.15940123834
2020-04-13,138222.80931819134
2020-04-14,136333.13357318277
2020-04-15,134645.06528980672
2020-04-16,135562.160700465
2020-04-17,135210.6349599812
2020-04-20,135444.26951117866
2020-04-21,134928.12200168252
2020-04-22,138376.5910216116
2020-04-23,140860.61092890962
2020-04-24,138866.11399398345
2020-04-27,136653.28647913938
2020-04-28,137486.43950172808
2020-04-29,137963.2123033605
2020-04-30,137896.46513211992
2020-05-01,136820.13062896047
2020-05-04,138766.50508768682
2020-05-05,139129.66194432156
2020-05-06,139706.3277978707
2020-05-07,138423.3181937688
2020-05-08,138280.25275959098
2020-05-11,137072.1984110434
2020-05-12,135151.53190127315
2020-05-13,135134.67224130715
2020-05-14,135452.53240736906
2020-05-15,134382.06432926498
2020-05-18,133234.8930862488
2020-05-19,132095.17262396106
2020-05-20,130154.59184470717
2020-05-21,130493.58583380296
2020-05-22,129808.73139582005
2020-05-25,128563.72948303274
2020-05-26,126646.19823124388
2020-05-27,127508.80783766619
